abbreviati,country_co,country_na,mean,wld_rgn,month
,CD,Chad,9.931083003774806e-05,Africa,2018-11
Mal.,MI,Malawi,0.00017364241912180326,Africa,2018-11
Zam.,ZA,Zambia,0.00018764889654207423,Africa,2018-11
Zimb.,ZI,Zimbabwe,0.00016119079883770057,Africa,2018-11
Bots.,BC,Botswana,0.00015052584076068003,Africa,2018-11
Nam.,WA,Namibia,0.0001190315383931602,Africa,2018-11
Ang.,AO,Angola,0.0001670586694419971,Africa,2018-11
Buru.,BY,Burundi,0.00011625570400260844,Africa,2018-11
Rw.,RW,Rwanda,0.0001056113315869395,Africa,2018-11
S. Afr.,SF,South Africa,0.00010966755950095177,Africa,2018-11
Leso.,LT,Lesotho,0.00010688880993760914,Africa,2018-11
Swaz.,WZ,Swaziland,0.00013617706881072935,Africa,2018-11
May.,MF,Mayotte,9.991964710233019e-05,Africa,2018-11
,NG,Niger,6.611470118176461e-05,Africa,2018-11
,SU,Sudan,8.35609715584072e-05,Africa,2018-11
,LY,Libya,5.213911981189989e-05,Africa,2018-11
,UU,Koualou Area,0.00022058229407576497,Africa,2018-11
Tun.,TS,Tunisia,6.353314489103521e-05,Africa,2018-11
,EG,Egypt,6.495831290870627e-05,Africa,2018-11
,EG,Bir Tawil,5.940029934418573e-05,Africa,2018-11
,SU,Halaib Triangle,5.998594397944221e-05,Africa,2018-11
Erit.,ER,Eritrea,9.304839783359908e-05,Africa,2018-11
Eth.,ET,Ethiopia,9.807969263329662e-05,Africa,2018-11
Dji.,DJ,Djibouti,7.853845378137477e-05,Africa,2018-11
Som.,SO,Somalia,7.715104652035801e-05,Africa,2018-11
S. Sudan,OD,South Sudan,0.00019539424853152378,Africa,2018-11
,UU,Abyei Area,0.00018513100528689394,Africa,2018-11
,KE,Kenya,9.076605636321693e-05,Africa,2018-11
Ug.,UG,Uganda,0.00013817547366175962,Africa,2018-11
Tanz.,TZ,Tanzania,0.00012907914988436852,Africa,2018-11
Moz.,MZ,Mozambique,0.00015832958646562416,Africa,2018-11
Como.,CN,Comoros,9.857971481623332e-05,Africa,2018-11
Madag.,MA,Madagascar,0.00013115037089247886,Africa,2018-11
C. Ver.,CV,Cabo Verde,6.689458017055614e-05,Africa,2018-11
W. Sah.,WI,Western Sahara,4.856304814232155e-05,Africa,2018-11
Maur.,MR,Mauritania,6.777397860473047e-05,Africa,2018-11
Mor.,MO,Morocco,5.8037098541861574e-05,Africa,2018-11
Sp.,SP,Spain (Canary Is),4.5632214705441414e-05,Africa,2018-11
Port.,PO,Portugal (Madeira Is),4.555286517710005e-05,Africa,2018-11
Sp.,SP,Spain (Africa),5.090946242814771e-05,Africa,2018-11
Alg.,AG,Algeria,5.412450261697534e-05,Africa,2018-11
,ML,Mali,9.528602940470375e-05,Africa,2018-11
Burk.,UV,Burkina Faso,0.00015261886482852561,Africa,2018-11
,TO,Togo,0.00016314769640361068,Africa,2018-11
,GH,Ghana,0.00016972626352328277,Africa,2018-11
C. d Iv.,IV,Cote d'Ivoire,0.000153028459340008,Africa,2018-11
Gui.,GV,Guinea,0.00019498466286233885,Africa,2018-11
Sen.,SG,Senegal,0.00017443617191237353,Africa,2018-11
Gam.,GA,"Gambia, The",0.00017919001915489802,Africa,2018-11
Gui.-Bis.,PU,Guinea-Bissau,0.0002159166047901231,Africa,2018-11
S. Leo.,SL,Sierra Leone,0.00016742930099460668,Africa,2018-11
Liber.,LI,Liberia,0.00013752518535570056,Africa,2018-11
,BN,Benin,0.00016294427179133907,Africa,2018-11
Nig.,NI,Nigeria,0.0001585430868465471,Africa,2018-11
Camer.,CM,Cameroon,0.00015357159955155228,Africa,2018-11
Equa. Gui.,EK,Equatorial Guinea,0.00010939771274905517,Africa,2018-11
S. To. & Prin.,TP,Sao Tome & Principe,0.00010249581121592802,Africa,2018-11
,GB,Gabon,0.00011003600693533005,Africa,2018-11
Rep. of the Congo,CF,Rep of the Congo,0.0001331507680209457,Africa,2018-11
Cen. Afr. Rep.,CT,Central African Rep,0.00019198097848677515,Africa,2018-11
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,0.00016153980835255762,Africa,2018-11
,CD,Chad,8.501363914668261e-05,Africa,2018-12
Mal.,MI,Malawi,0.00011790439426073624,Africa,2018-12
Zam.,ZA,Zambia,0.00012011228351733845,Africa,2018-12
Zimb.,ZI,Zimbabwe,0.00012924811963832853,Africa,2018-12
Bots.,BC,Botswana,0.0001482876618686469,Africa,2018-12
Nam.,WA,Namibia,0.00011623092784469274,Africa,2018-12
Ang.,AO,Angola,0.0001319522484636568,Africa,2018-12
Buru.,BY,Burundi,8.608739673125296e-05,Africa,2018-12
Rw.,RW,Rwanda,9.284293176052913e-05,Africa,2018-12
S. Afr.,SF,South Africa,0.00011900238347609549,Africa,2018-12
Leso.,LT,Lesotho,0.00010792702567694101,Africa,2018-12
Swaz.,WZ,Swaziland,0.0001739263913769551,Africa,2018-12
May.,MF,Mayotte,0.00010252577454014364,Africa,2018-12
,NG,Niger,5.730239637030505e-05,Africa,2018-12
,SU,Sudan,7.434234207664292e-05,Africa,2018-12
,LY,Libya,4.586554963745454e-05,Africa,2018-12
,UU,Koualou Area,0.00018068378828332347,Africa,2018-12
Tun.,TS,Tunisia,6.678780325503177e-05,Africa,2018-12
,EG,Egypt,5.311137258135052e-05,Africa,2018-12
,EG,Bir Tawil,4.974541297341112e-05,Africa,2018-12
,SU,Halaib Triangle,5.378447166577192e-05,Africa,2018-12
Erit.,ER,Eritrea,9.12635915709718e-05,Africa,2018-12
Eth.,ET,Ethiopia,0.0001116127100625424,Africa,2018-12
Dji.,DJ,Djibouti,7.706088579778473e-05,Africa,2018-12
Som.,SO,Somalia,7.685673548623627e-05,Africa,2018-12
S. Sudan,OD,South Sudan,0.00020974963923828374,Africa,2018-12
,UU,Abyei Area,0.00014367641988384216,Africa,2018-12
,KE,Kenya,8.656979303738785e-05,Africa,2018-12
Ug.,UG,Uganda,0.0001328564953630935,Africa,2018-12
Tanz.,TZ,Tanzania,0.00010050235151348681,Africa,2018-12
Moz.,MZ,Mozambique,0.00013136810657891302,Africa,2018-12
Como.,CN,Comoros,9.290751307712005e-05,Africa,2018-12
Madag.,MA,Madagascar,0.0001151060917246544,Africa,2018-12
C. Ver.,CV,Cabo Verde,6.358354080680876e-05,Africa,2018-12
W. Sah.,WI,Western Sahara,4.555564842561363e-05,Africa,2018-12
Maur.,MR,Mauritania,5.2975177344963435e-05,Africa,2018-12
Mor.,MO,Morocco,6.637580625656025e-05,Africa,2018-12
Sp.,SP,Spain (Canary Is),5.889036670506806e-05,Africa,2018-12
Port.,PO,Portugal (Madeira Is),5.064535824851144e-05,Africa,2018-12
Sp.,SP,Spain (Africa),7.168502478171078e-05,Africa,2018-12
Alg.,AG,Algeria,5.273223171685416e-05,Africa,2018-12
,ML,Mali,7.258803669786498e-05,Africa,2018-12
Burk.,UV,Burkina Faso,0.0001219221139978586,Africa,2018-12
,TO,Togo,0.00019163974586226216,Africa,2018-12
,GH,Ghana,0.00021328448544942214,Africa,2018-12
C. d Iv.,IV,Cote d'Ivoire,0.0001942139751667894,Africa,2018-12
Gui.,GV,Guinea,0.00019614753218907596,Africa,2018-12
Sen.,SG,Senegal,0.00013342887650321603,Africa,2018-12
Gam.,GA,"Gambia, The",0.00014045935783425634,Africa,2018-12
Gui.-Bis.,PU,Guinea-Bissau,0.0001920860424080554,Africa,2018-12
S. Leo.,SL,Sierra Leone,0.00018317493786613009,Africa,2018-12
Liber.,LI,Liberia,0.0001734427254219204,Africa,2018-12
,BN,Benin,0.00016686591660816804,Africa,2018-12
Nig.,NI,Nigeria,0.00015918375736698027,Africa,2018-12
Camer.,CM,Cameroon,0.00018832181920183595,Africa,2018-12
Equa. Gui.,EK,Equatorial Guinea,0.000150939682750456,Africa,2018-12
S. To. & Prin.,TP,Sao Tome & Principe,0.00012536659261052003,Africa,2018-12
,GB,Gabon,0.00014837632235172005,Africa,2018-12
Rep. of the Congo,CF,Rep of the Congo,0.00016625446005063874,Africa,2018-12
Cen. Afr. Rep.,CT,Central African Rep,0.00023044679297533222,Africa,2018-12
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,0.00015211171808907962,Africa,2018-12
,CD,Chad,8.552643472214247e-05,Africa,2019-01
Mal.,MI,Malawi,0.00010835810446042013,Africa,2019-01
Zam.,ZA,Zambia,0.00010734883259119086,Africa,2019-01
Zimb.,ZI,Zimbabwe,0.0001273661925941554,Africa,2019-01
Bots.,BC,Botswana,0.00015676979456590414,Africa,2019-01
Nam.,WA,Namibia,0.00012590951753376498,Africa,2019-01
Ang.,AO,Angola,0.00012883093668690284,Africa,2019-01
Buru.,BY,Burundi,0.00010797109077596213,Africa,2019-01
Rw.,RW,Rwanda,0.00011389539055610236,Africa,2019-01
S. Afr.,SF,South Africa,0.00011759824489966548,Africa,2019-01
Leso.,LT,Lesotho,0.00010247237019828326,Africa,2019-01
Swaz.,WZ,Swaziland,0.00013141515065178482,Africa,2019-01
May.,MF,Mayotte,8.583674189433241e-05,Africa,2019-01
,NG,Niger,5.968483946578974e-05,Africa,2019-01
,SU,Sudan,8.28625355537783e-05,Africa,2019-01
,LY,Libya,4.29606761354779e-05,Africa,2019-01
,UU,Koualou Area,0.00016856732404514952,Africa,2019-01
