abbreviati,country_co,country_na,mean,wld_rgn,month
,CD,Chad,1871.6341139786102,Africa,2019-03
Mal.,MI,Malawi,1824.2246085742172,Africa,2019-03
Zam.,ZA,Zambia,1819.2635044314347,Africa,2019-03
Zimb.,ZI,Zimbabwe,1821.3464640122254,Africa,2019-03
Bots.,BC,Botswana,1829.0745788036688,Africa,2019-03
Nam.,WA,Namibia,1839.7846457601581,Africa,2019-03
Ang.,AO,Angola,1830.4114253155217,Africa,2019-03
Buru.,BY,Burundi,,Africa,2019-03
Rw.,RW,Rwanda,,Africa,2019-03
S. Afr.,SF,South Africa,1823.1569277521505,Africa,2019-03
Leso.,LT,Lesotho,1823.5257172600725,Africa,2019-03
Swaz.,WZ,Swaziland,1808.2396179781388,Africa,2019-03
May.,MF,Mayotte,,Africa,2019-03
,NG,Niger,1879.0462490767643,Africa,2019-03
,SU,Sudan,1870.7399313964809,Africa,2019-03
,LY,Libya,1862.9865397215926,Africa,2019-03
,UU,Koualou Area,1904.6058147426472,Africa,2019-03
Tun.,TS,Tunisia,1877.3317341553,Africa,2019-03
,EG,Egypt,1870.6121507836804,Africa,2019-03
,EG,Bir Tawil,1870.0438684573617,Africa,2019-03
,SU,Halaib Triangle,1878.547958108827,Africa,2019-03
Erit.,ER,Eritrea,1870.0347926782972,Africa,2019-03
Eth.,ET,Ethiopia,1862.853702676558,Africa,2019-03
Dji.,DJ,Djibouti,1865.9556834531516,Africa,2019-03
Som.,SO,Somalia,1864.7281901985393,Africa,2019-03
S. Sudan,OD,South Sudan,1870.8828394532063,Africa,2019-03
,UU,Abyei Area,1874.584670364431,Africa,2019-03
,KE,Kenya,1854.1897248312068,Africa,2019-03
Ug.,UG,Uganda,1855.982209621659,Africa,2019-03
Tanz.,TZ,Tanzania,1837.7679797529763,Africa,2019-03
Moz.,MZ,Mozambique,1808.151493887551,Africa,2019-03
Como.,CN,Comoros,,Africa,2019-03
Madag.,MA,Madagascar,1826.6433843991183,Africa,2019-03
C. Ver.,CV,Cabo Verde,1893.6576650065888,Africa,2019-03
W. Sah.,WI,Western Sahara,1874.1336390659637,Africa,2019-03
Maur.,MR,Mauritania,1865.0057995471527,Africa,2019-03
Mor.,MO,Morocco,1863.7085806026398,Africa,2019-03
Sp.,SP,Spain (Canary Is),1862.6494083752007,Africa,2019-03
Port.,PO,Portugal (Madeira Is),,Africa,2019-03
Sp.,SP,Spain (Africa),,Africa,2019-03
Alg.,AG,Algeria,1862.2003867451567,Africa,2019-03
,ML,Mali,1873.4165666393421,Africa,2019-03
Burk.,UV,Burkina Faso,1895.4629666312194,Africa,2019-03
,TO,Togo,1888.5592085183205,Africa,2019-03
,GH,Ghana,1891.7414888927567,Africa,2019-03
C. d Iv.,IV,Cote d'Ivoire,1873.286816134463,Africa,2019-03
Gui.,GV,Guinea,1872.449746429548,Africa,2019-03
Sen.,SG,Senegal,1875.0413010523,Africa,2019-03
Gam.,GA,"Gambia, The",1876.1523184293862,Africa,2019-03
Gui.-Bis.,PU,Guinea-Bissau,1865.8853647120598,Africa,2019-03
S. Leo.,SL,Sierra Leone,1869.4033741523217,Africa,2019-03
Liber.,LI,Liberia,1852.991464356082,Africa,2019-03
,BN,Benin,1885.2077552168294,Africa,2019-03
Nig.,NI,Nigeria,1893.5480407721968,Africa,2019-03
Camer.,CM,Cameroon,1879.784017404959,Africa,2019-03
Equa. Gui.,EK,Equatorial Guinea,,Africa,2019-03
S. To. & Prin.,TP,Sao Tome & Principe,,Africa,2019-03
,GB,Gabon,1836.3632455048303,Africa,2019-03
Rep. of the Congo,CF,Rep of the Congo,1844.5286422968893,Africa,2019-03
Cen. Afr. Rep.,CT,Central African Rep,1859.5980532781186,Africa,2019-03
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,1834.5944529635674,Africa,2019-03
,CD,Chad,1872.0448939541175,Africa,2019-04
Mal.,MI,Malawi,1821.9504937970223,Africa,2019-04
Zam.,ZA,Zambia,1813.9698590371288,Africa,2019-04
