abbreviati,country_co,country_na,mean,wld_rgn,month
,CD,Chad,5.506830380756549e-05,Africa,2018-07
Mal.,MI,Malawi,4.69372677299746e-05,Africa,2018-07
Zam.,ZA,Zambia,5.7286951672107445e-05,Africa,2018-07
Zimb.,ZI,Zimbabwe,4.900664627226773e-05,Africa,2018-07
Bots.,BC,Botswana,4.9603535436068014e-05,Africa,2018-07
Nam.,WA,Namibia,4.894739803768464e-05,Africa,2018-07
Ang.,AO,Angola,7.430713843395704e-05,Africa,2018-07
Buru.,BY,Burundi,6.236979512400203e-05,Africa,2018-07
Rw.,RW,Rwanda,5.8312536564799055e-05,Africa,2018-07
S. Afr.,SF,South Africa,6.814355567837974e-05,Africa,2018-07
Leso.,LT,Lesotho,5.402731229659128e-05,Africa,2018-07
Swaz.,WZ,Swaziland,0.00010935051983350688,Africa,2018-07
May.,MF,Mayotte,4.225973442183727e-05,Africa,2018-07
,NG,Niger,5.7965681187779406e-05,Africa,2018-07
,SU,Sudan,5.6110586060828376e-05,Africa,2018-07
,LY,Libya,6.439697405168115e-05,Africa,2018-07
,UU,Koualou Area,5.206092556675406e-05,Africa,2018-07
Tun.,TS,Tunisia,7.554098259353544e-05,Africa,2018-07
,EG,Egypt,6.986302595756957e-05,Africa,2018-07
,EG,Bir Tawil,6.028448166058298e-05,Africa,2018-07
,SU,Halaib Triangle,6.09666097088167e-05,Africa,2018-07
Erit.,ER,Eritrea,5.401248733525999e-05,Africa,2018-07
Eth.,ET,Ethiopia,4.560425692808472e-05,Africa,2018-07
Dji.,DJ,Djibouti,5.083919900193492e-05,Africa,2018-07
Som.,SO,Somalia,4.40603152954478e-05,Africa,2018-07
S. Sudan,OD,South Sudan,4.634636783830848e-05,Africa,2018-07
,UU,Abyei Area,4.824185539228575e-05,Africa,2018-07
,KE,Kenya,4.590064116144034e-05,Africa,2018-07
Ug.,UG,Uganda,5.026633524323939e-05,Africa,2018-07
Tanz.,TZ,Tanzania,5.640827575520526e-05,Africa,2018-07
Moz.,MZ,Mozambique,4.793131930906937e-05,Africa,2018-07
Como.,CN,Comoros,4.227457310985136e-05,Africa,2018-07
Madag.,MA,Madagascar,4.674784431076993e-05,Africa,2018-07
C. Ver.,CV,Cabo Verde,5.131070518728708e-05,Africa,2018-07
W. Sah.,WI,Western Sahara,5.841190167440354e-05,Africa,2018-07
Maur.,MR,Mauritania,5.779965356367084e-05,Africa,2018-07
Mor.,MO,Morocco,6.903411074494548e-05,Africa,2018-07
Sp.,SP,Spain (Canary Is),6.619022595522263e-05,Africa,2018-07
Port.,PO,Portugal (Madeira Is),6.850939587903516e-05,Africa,2018-07
Sp.,SP,Spain (Africa),9.198391299753793e-05,Africa,2018-07
Alg.,AG,Algeria,6.360969750392302e-05,Africa,2018-07
,ML,Mali,5.7789607248241225e-05,Africa,2018-07
Burk.,UV,Burkina Faso,5.374801986637081e-05,Africa,2018-07
,TO,Togo,4.999788896684808e-05,Africa,2018-07
,GH,Ghana,4.9069962718992e-05,Africa,2018-07
C. d Iv.,IV,Cote d'Ivoire,4.739866951379421e-05,Africa,2018-07
Gui.,GV,Guinea,4.792007935470085e-05,Africa,2018-07
Sen.,SG,Senegal,5.740169969223936e-05,Africa,2018-07
Gam.,GA,"Gambia, The",5.5501653658217705e-05,Africa,2018-07
Gui.-Bis.,PU,Guinea-Bissau,4.90429424107e-05,Africa,2018-07
S. Leo.,SL,Sierra Leone,4.577059657654384e-05,Africa,2018-07
Liber.,LI,Liberia,4.566304860017111e-05,Africa,2018-07
,BN,Benin,5.129561029549429e-05,Africa,2018-07
Nig.,NI,Nigeria,5.596049812343772e-05,Africa,2018-07
Camer.,CM,Cameroon,5.0913156458838214e-05,Africa,2018-07
Equa. Gui.,EK,Equatorial Guinea,5.593843963330559e-05,Africa,2018-07
S. To. & Prin.,TP,Sao Tome & Principe,5.4034252228106e-05,Africa,2018-07
,GB,Gabon,6.0787492837277166e-05,Africa,2018-07
Rep. of the Congo,CF,Rep of the Congo,6.720763668005107e-05,Africa,2018-07
Cen. Afr. Rep.,CT,Central African Rep,4.7999899056330474e-05,Africa,2018-07
Dem. Rep. of the Congo,CG,Dem Rep of the Congo,7.332510643926778e-05,Africa,2018-07
,CD,Chad,5.344384226062776e-05,Africa,2018-08
Mal.,MI,Malawi,5.8824277435943886e-05,Africa,2018-08
Zam.,ZA,Zambia,8.013818761541833e-05,Africa,2018-08
Zimb.,ZI,Zimbabwe,6.395487134939543e-05,Africa,2018-08
Bots.,BC,Botswana,5.933751478116945e-05,Africa,2018-08
Nam.,WA,Namibia,5.465052788368589e-05,Africa,2018-08
Ang.,AO,Angola,8.292635804212732e-05,Africa,2018-08
Buru.,BY,Burundi,5.856921420183523e-05,Africa,2018-08
