country_co,country_na,mean,month
CD,Chad,9.931083003774806e-05,2018-11
MI,Malawi,0.0001736424191218,2018-11
ZA,Zambia,0.000187648896542,2018-11
ZI,Zimbabwe,0.0001611907988377,2018-11
BC,Botswana,0.0001505258407606,2018-11
WA,Namibia,0.0001190315383931,2018-11
AO,Angola,0.0001670586694419,2018-11
BY,Burundi,0.0001162557040026,2018-11
RW,Rwanda,0.0001056113315869,2018-11
SF,South Africa,0.0001096675595009,2018-11
LT,Lesotho,0.0001068888099376,2018-11
WZ,Swaziland,0.0001361770688107,2018-11
MF,Mayotte,9.99196471023302e-05,2018-11
NG,Niger,6.611470118176461e-05,2018-11
SU,Sudan,8.35609715584072e-05,2018-11
LY,Libya,5.213911981189989e-05,2018-11
UU,Koualou Area,0.0002205822940757,2018-11
TS,Tunisia,6.353314489103521e-05,2018-11
EG,Egypt,6.495831290870627e-05,2018-11
EG,Bir Tawil,5.940029934418573e-05,2018-11
SU,Halaib Triangle,5.998594397944221e-05,2018-11
ER,Eritrea,9.304839783359908e-05,2018-11
ET,Ethiopia,9.807969263329662e-05,2018-11
DJ,Djibouti,7.853845378137477e-05,2018-11
SO,Somalia,7.715104652035801e-05,2018-11
OD,South Sudan,0.0001953942485315,2018-11
UU,Abyei Area,0.0001851310052868,2018-11
KE,Kenya,9.076605636321691e-05,2018-11
UG,Uganda,0.0001381754736617,2018-11
TZ,Tanzania,0.0001290791498843,2018-11
MZ,Mozambique,0.0001583295864656,2018-11
CN,Comoros,9.857971481623332e-05,2018-11
MA,Madagascar,0.0001311503708924,2018-11
CV,Cabo Verde,6.689458017055614e-05,2018-11
WI,Western Sahara,4.856304814232155e-05,2018-11
MR,Mauritania,6.777397860473047e-05,2018-11
MO,Morocco,5.803709854186157e-05,2018-11
SP,Spain (Canary Is),4.563221470544141e-05,2018-11
PO,Portugal (Madeira Is),4.555286517710005e-05,2018-11
SP,Spain (Africa),5.090946242814771e-05,2018-11
AG,Algeria,5.412450261697534e-05,2018-11
ML,Mali,9.528602940470376e-05,2018-11
UV,Burkina Faso,0.0001526188648285,2018-11
TO,Togo,0.0001631476964036,2018-11
GH,Ghana,0.0001697262635232,2018-11
IV,Cote d'Ivoire,0.00015302845934,2018-11
GV,Guinea,0.0001949846628623,2018-11
SG,Senegal,0.0001744361719123,2018-11
GA,"Gambia, The",0.0001791900191548,2018-11
PU,Guinea-Bissau,0.0002159166047901,2018-11
SL,Sierra Leone,0.0001674293009946,2018-11
LI,Liberia,0.0001375251853557,2018-11
BN,Benin,0.0001629442717913,2018-11
NI,Nigeria,0.0001585430868465,2018-11
CM,Cameroon,0.0001535715995515,2018-11
EK,Equatorial Guinea,0.000109397712749,2018-11
TP,Sao Tome & Principe,0.0001024958112159,2018-11
GB,Gabon,0.0001100360069353,2018-11
CF,Rep of the Congo,0.0001331507680209,2018-11
CT,Central African Rep,0.0001919809784867,2018-11
CG,Dem Rep of the Congo,0.0001615398083525,2018-11
CD,Chad,8.501363914668261e-05,2018-12
MI,Malawi,0.0001179043942607,2018-12
ZA,Zambia,0.0001201122835173,2018-12
ZI,Zimbabwe,0.0001292481196383,2018-12
BC,Botswana,0.0001482876618686,2018-12
WA,Namibia,0.0001162309278446,2018-12
AO,Angola,0.0001319522484636,2018-12
BY,Burundi,8.608739673125296e-05,2018-12
RW,Rwanda,9.284293176052911e-05,2018-12
SF,South Africa,0.000119002383476,2018-12
LT,Lesotho,0.0001079270256769,2018-12
WZ,Swaziland,0.0001739263913769,2018-12
MF,Mayotte,0.0001025257745401,2018-12
NG,Niger,5.730239637030505e-05,2018-12
SU,Sudan,7.434234207664292e-05,2018-12
LY,Libya,4.586554963745454e-05,2018-12
UU,Koualou Area,0.0001806837882833,2018-12
TS,Tunisia,6.678780325503177e-05,2018-12
EG,Egypt,5.311137258135052e-05,2018-12
EG,Bir Tawil,4.974541297341112e-05,2018-12
SU,Halaib Triangle,5.378447166577192e-05,2018-12
ER,Eritrea,9.12635915709718e-05,2018-12
ET,Ethiopia,0.0001116127100625,2018-12
DJ,Djibouti,7.706088579778473e-05,2018-12
SO,Somalia,7.685673548623627e-05,2018-12
OD,South Sudan,0.0002097496392382,2018-12
UU,Abyei Area,0.0001436764198838,2018-12
KE,Kenya,8.656979303738785e-05,2018-12
UG,Uganda,0.000132856495363,2018-12
TZ,Tanzania,0.0001005023515134,2018-12
MZ,Mozambique,0.0001313681065789,2018-12
CN,Comoros,9.290751307712004e-05,2018-12
MA,Madagascar,0.0001151060917246,2018-12
CV,Cabo Verde,6.358354080680876e-05,2018-12
WI,Western Sahara,4.555564842561363e-05,2018-12
MR,Mauritania,5.297517734496344e-05,2018-12
MO,Morocco,6.637580625656025e-05,2018-12
SP,Spain (Canary Is),5.889036670506806e-05,2018-12
PO,Portugal (Madeira Is),5.064535824851144e-05,2018-12
SP,Spain (Africa),7.168502478171078e-05,2018-12
AG,Algeria,5.273223171685416e-05,2018-12
ML,Mali,7.258803669786498e-05,2018-12
UV,Burkina Faso,0.0001219221139978,2018-12
TO,Togo,0.0001916397458622,2018-12
GH,Ghana,0.0002132844854494,2018-12
