mean,system:index,COUNTY
7.247983259679684E-6,00000000000000000000,Turkana
6.57963769711451E-6,00000000000000000001,Marsabit
5.4732807688694745E-6,00000000000000000002,Mandera
5.781161781271465E-6,00000000000000000003,Wajir
6.4608453374104345E-6,00000000000000000004,West Pokot
5.600822077777927E-6,00000000000000000005,Samburu
6.856786666203991E-6,00000000000000000006,Isiolo
7.6143110373097856E-6,00000000000000000007,Baringo
5.995758939319651E-6,00000000000000000008,Keiyo-Marakwet
8.585954242821669E-6,00000000000000000009,Trans Nzoia
1.0406417469854243E-5,0000000000000000000a,Bungoma
6.066719844325374E-6,0000000000000000000b,Garissa
7.933650930102324E-6,0000000000000000000c,Uasin Gishu
1.2288365810992437E-5,0000000000000000000d,Kakamega
6.082320692173589E-6,0000000000000000000e,Laikipia
1.3390538890589422E-5,0000000000000000000f,Busia
6.711627283262572E-6,00000000000000000010,Meru
9.301410538074003E-6,00000000000000000011,Nandi
1.2573802632705782E-5,00000000000000000012,Siaya
9.230734864145861E-6,00000000000000000013,Nakuru
1.2537369170913503E-5,00000000000000000014,Vihiga
6.637145365018893E-6,00000000000000000015,Nyandarua
7.425832860722353E-6,00000000000000000016,Tharaka
9.023883777574035E-6,00000000000000000017,Kericho
1.298583348138486E-5,00000000000000000018,Kisumu
7.085435556850108E-6,00000000000000000019,Nyeri
6.312879393812434E-6,0000000000000000001a,Tana River
6.959232600145241E-6,0000000000000000001b,Kitui
6.973981395412247E-6,0000000000000000001c,Kirinyaga
7.703620499738114E-6,0000000000000000001d,Embu
1.1728146300214434E-5,0000000000000000001e,Homa Bay
8.349251539773554E-6,0000000000000000001f,Bomet
9.217822989290057E-6,00000000000000000020,Nyamira
7.95304968277057E-6,00000000000000000021,Narok
1.0182034772828693E-5,00000000000000000022,Kisii
9.13526811541724E-6,00000000000000000023,Murang'a
1.1198420591172653E-5,00000000000000000024,Migori
1.171846259918284E-5,00000000000000000025,Kiambu
8.586656344479252E-6,00000000000000000026,Machakos
9.242634923464062E-6,00000000000000000027,Kajiado
2.1094660630868442E-5,00000000000000000028,Nairobi
7.61144170488588E-6,00000000000000000029,Makueni
5.241912692354992E-6,0000000000000000002a,Lamu
6.745239606216904E-6,0000000000000000002b,Kilifi
7.077620143311676E-6,0000000000000000002c,Taita Taveta
7.327145492377629E-6,0000000000000000002d,Kwale
1.2881610583884054E-5,0000000000000000002e,Mombasa
