COUNTY,mean,month
Turkana,0.00010465343792012307,2018-11
Marsabit,9.09307593782089e-05,2018-11
Mandera,8.450105537793977e-05,2018-11
Wajir,8.825989638955604e-05,2018-11
West Pokot,9.992018250209443e-05,2018-11
Samburu,8.05158235838537e-05,2018-11
Isiolo,8.98976172320456e-05,2018-11
Baringo,9.439800861682606e-05,2018-11
Keiyo-Marakwet,7.832835738655614e-05,2018-11
Trans Nzoia,9.180360220927359e-05,2018-11
Bungoma,0.00010451667943113573,2018-11
Garissa,8.848061020558304e-05,2018-11
Uasin Gishu,8.523836152967485e-05,2018-11
Kakamega,0.00012405920260390182,2018-11
Laikipia,8.248688598700458e-05,2018-11
Busia,0.00014122286494895551,2018-11
Meru,8.88470206688929e-05,2018-11
Nandi,0.00010075056832611006,2018-11
Siaya,0.00013788916737807712,2018-11
Nakuru,8.449546251912536e-05,2018-11
Vihiga,0.00011570550105554027,2018-11
Nyandarua,7.049550758892572e-05,2018-11
Tharaka,9.474937498012612e-05,2018-11
Kericho,0.00010461776950587856,2018-11
Kisumu,0.00013990768527889967,2018-11
Nyeri,5.649774594165531e-05,2018-11
Tana River,8.335438768460926e-05,2018-11
Kitui,8.770085550608086e-05,2018-11
Kirinyaga,7.516575796847213e-05,2018-11
Embu,8.940919966233508e-05,2018-11
Homa Bay,0.000147560441257651,2018-11
Bomet,9.410706098991449e-05,2018-11
Nyamira,0.00012345487522886405,2018-11
Narok,9.226309014160816e-05,2018-11
Kisii,0.0001317811723875763,2018-11
Murang'a,8.629108332879775e-05,2018-11
Migori,0.00014367398009622424,2018-11
Kiambu,8.655594452497795e-05,2018-11
Machakos,8.749376147632921e-05,2018-11
Kajiado,9.065276062098002e-05,2018-11
Nairobi,8.94531926514701e-05,2018-11
Makueni,8.115756625754745e-05,2018-11
Lamu,7.110088564877657e-05,2018-11
Kilifi,8.323677911830067e-05,2018-11
Taita Taveta,7.85639558804485e-05,2018-11
Kwale,7.728294707224979e-05,2018-11
Mombasa,8.448305548177754e-05,2018-11
Turkana,0.00010306203386472747,2018-12
Marsabit,9.779035769484766e-05,2018-12
Mandera,9.242844995290575e-05,2018-12
Wajir,8.785406851301429e-05,2018-12
West Pokot,8.042287413804499e-05,2018-12
Samburu,7.082433413244746e-05,2018-12
Isiolo,8.43816228669291e-05,2018-12
Baringo,8.489981099844227e-05,2018-12
Keiyo-Marakwet,7.276183941017984e-05,2018-12
Trans Nzoia,8.36327888674674e-05,2018-12
Bungoma,0.0001134382297442599,2018-12
Garissa,8.349033237471369e-05,2018-12
Uasin Gishu,6.837371970490502e-05,2018-12
Kakamega,0.00011097734090977959,2018-12
Laikipia,6.688592689763384e-05,2018-12
Busia,0.00014887256912933912,2018-12
Meru,7.302552923127118e-05,2018-12
Nandi,0.00010438786737214548,2018-12
Siaya,0.00014019915233876484,2018-12
Nakuru,7.14086103956461e-05,2018-12
Vihiga,0.00011754812263564091,2018-12
Nyandarua,5.5421591113598855e-05,2018-12
Tharaka,7.630520190986943e-05,2018-12
Kericho,9.848235671167209e-05,2018-12
Kisumu,0.00012853589644619079,2018-12
Nyeri,6.755738608467685e-05,2018-12
Tana River,8.140894662263354e-05,2018-12
Kitui,7.635931015981258e-05,2018-12
Kirinyaga,5.516187958464227e-05,2018-12
Embu,6.837247360056626e-05,2018-12
Homa Bay,0.00014198470509950084,2018-12
Bomet,8.438590104707312e-05,2018-12
Nyamira,9.941285917162492e-05,2018-12
Narok,7.274137857150937e-05,2018-12
Kisii,0.00011444813865890228,2018-12
Murang'a,6.361183180594624e-05,2018-12
Migori,0.00011556836227927578,2018-12
Kiambu,6.8099162488241e-05,2018-12
Machakos,6.933315887299582e-05,2018-12
Kajiado,7.941095608944942e-05,2018-12
Nairobi,8.861086261270321e-05,2018-12
Makueni,6.54157176324227e-05,2018-12
Lamu,7.614682238269276e-05,2018-12
Kilifi,8.343627668132777e-05,2018-12
Taita Taveta,7.489015211021958e-05,2018-12
Kwale,7.998953350105573e-05,2018-12
Mombasa,0.00011732989541635613,2018-12
Turkana,0.00011683724701731293,2019-01
Marsabit,0.00011770518958499721,2019-01
Mandera,0.00011131683319434399,2019-01
Wajir,0.00011296295171868546,2019-01
West Pokot,0.00010198579172421052,2019-01
Samburu,9.33618948681443e-05,2019-01
Isiolo,0.00010545207813984906,2019-01
Baringo,0.00010366095031621299,2019-01
Keiyo-Marakwet,9.426846858334109e-05,2019-01
Trans Nzoia,0.00011088444834459931,2019-01
Bungoma,0.000139884751820996,2019-01
Garissa,9.860119319097748e-05,2019-01
Uasin Gishu,9.854540115476753e-05,2019-01
Kakamega,0.0001416747635359931,2019-01
Laikipia,9.235541606401154e-05,2019-01
Busia,0.00018251192043851696,2019-01
Meru,9.920305074410325e-05,2019-01
Nandi,0.00011079176184510734,2019-01
Siaya,0.00014915347929839656,2019-01
Nakuru,9.987267683184153e-05,2019-01
Vihiga,0.0001537153207526649,2019-01
Nyandarua,8.290112676571964e-05,2019-01
Tharaka,0.00010224794202892242,2019-01
Kericho,0.00011226151617869232,2019-01
Kisumu,0.00015012090700730786,2019-01
Nyeri,0.00010528282760213403,2019-01
Tana River,8.872038068222166e-05,2019-01
Kitui,9.07780484026617e-05,2019-01
Kirinyaga,9.950991722545866e-05,2019-01
Embu,0.00010041853816094738,2019-01
Homa Bay,0.0001400414142119534,2019-01
Bomet,0.00010447729365981085,2019-01
Nyamira,0.00012759100025400245,2019-01
Narok,9.564919757675786e-05,2019-01
Kisii,0.00012387751826304746,2019-01
Murang'a,9.95551547971211e-05,2019-01
Migori,0.00013910207712707843,2019-01
Kiambu,9.500381580629354e-05,2019-01
Machakos,0.00010022798719893836,2019-01
Kajiado,0.00010150513112390077,2019-01
Nairobi,0.00010671459380515192,2019-01
Makueni,8.824266780288687e-05,2019-01
Lamu,9.132642081536807e-05,2019-01
Kilifi,7.728768625763563e-05,2019-01
Taita Taveta,9.004707106498002e-05,2019-01
Kwale,8.939560328199163e-05,2019-01
