COUNTY,mean,month
Turkana,1855.8007199819986,2019-03
Marsabit,1852.7269486273613,2019-03
Mandera,1856.1387331007684,2019-03
Wajir,1856.712832494326,2019-03
West Pokot,1845.4392127917883,2019-03
Samburu,1857.9373928043403,2019-03
Isiolo,1855.9869689173106,2019-03
Baringo,1838.8317531946564,2019-03
Keiyo-Marakwet,1870.6340002924005,2019-03
Trans Nzoia,1860.9826391091933,2019-03
Bungoma,1854.220693454362,2019-03
Garissa,1857.3080885617123,2019-03
Uasin Gishu,1852.2071898516824,2019-03
Kakamega,1845.1124356644275,2019-03
Laikipia,1855.1333520342664,2019-03
Busia,1854.3928990114969,2019-03
Meru,1845.2740576879069,2019-03
Nandi,1844.1447538134817,2019-03
Siaya,1847.245294399199,2019-03
Nakuru,1854.7506273806314,2019-03
Vihiga,1834.8205128557263,2019-03
Nyandarua,1854.5988886465484,2019-03
Tharaka,1854.6964583524434,2019-03
Kericho,1876.9423335619067,2019-03
Kisumu,1852.4953333704057,2019-03
Nyeri,1836.433532470105,2019-03
Tana River,1855.1118559236365,2019-03
Kitui,1847.555240983122,2019-03
Kirinyaga,1850.5506782178327,2019-03
Embu,1850.6750502289597,2019-03
Homa Bay,1850.5905190755495,2019-03
Bomet,1822.5311262436267,2019-03
Nyamira,1841.6560777009408,2019-03
Narok,1837.7833502596325,2019-03
Kisii,1843.997627208728,2019-03
Murang'a,1841.8681810749129,2019-03
Migori,1844.8667805094628,2019-03
Kiambu,1849.3566985752425,2019-03
Machakos,1855.781628055505,2019-03
Kajiado,1851.9092584439002,2019-03
Nairobi,1862.0188157796265,2019-03
Makueni,1850.3205999466352,2019-03
Lamu,1833.009085048622,2019-03
Kilifi,1846.310414576179,2019-03
Taita Taveta,1853.524755155048,2019-03
Kwale,1858.03844427591,2019-03
Mombasa,1849.3818354927412,2019-03
Turkana,1849.3383616361293,2019-04
Marsabit,1847.1800388896593,2019-04
Mandera,1849.9668541191677,2019-04
Wajir,1845.2565855573866,2019-04
West Pokot,1856.4653878022755,2019-04
Samburu,1856.473653738503,2019-04
Isiolo,1849.7926356054415,2019-04
Baringo,1822.7725651741773,2019-04
Keiyo-Marakwet,1850.226433649652,2019-04
Trans Nzoia,1863.5018251746096,2019-04
Bungoma,1851.4132476584757,2019-04
Garissa,1837.6037565003385,2019-04
Uasin Gishu,1851.5123863766617,2019-04
Kakamega,1851.0873102548899,2019-04
Laikipia,1849.6902485348078,2019-04
Busia,1843.3193850021635,2019-04
Meru,1838.3562190908046,2019-04
Nandi,1851.1991797014703,2019-04
Siaya,1842.1752441354952,2019-04
Nakuru,1855.6133062947124,2019-04
Vihiga,1852.1107534522152,2019-04
Nyandarua,1811.3387680962883,2019-04
Tharaka,1809.047900477615,2019-04
Kericho,1857.0773422728505,2019-04
Kisumu,1855.089217632953,2019-04
Nyeri,,2019-04
Tana River,1838.7758924491295,2019-04
Kitui,1829.7760701572804,2019-04
Kirinyaga,,2019-04
Embu,1808.1503908918196,2019-04
Homa Bay,1843.5352181802373,2019-04
Bomet,1848.0412204869942,2019-04
Nyamira,,2019-04
Narok,1840.1153242322107,2019-04
Kisii,1850.8591396951429,2019-04
Murang'a,1811.3387461090883,2019-04
Migori,1844.1526798329933,2019-04
Kiambu,1824.2552609223803,2019-04
Machakos,1828.3383551083862,2019-04
Kajiado,1840.633930609714,2019-04
Nairobi,,2019-04
Makueni,1842.3246692204991,2019-04
Lamu,1831.7484123054626,2019-04
Kilifi,1843.2478180525661,2019-04
Taita Taveta,1848.9432947483604,2019-04
Kwale,,2019-04
Mombasa,1841.045282794765,2019-04
Turkana,1842.4293646590756,2019-05
Marsabit,1836.1304539786297,2019-05
Mandera,1831.7385997255615,2019-05
Wajir,1837.93737525902,2019-05
West Pokot,,2019-05
Samburu,1848.517711940779,2019-05
Isiolo,1832.6475559385174,2019-05
Baringo,1821.7380747857135,2019-05
Keiyo-Marakwet,1809.6801722385728,2019-05
Trans Nzoia,,2019-05
Bungoma,1839.2448611198602,2019-05
Garissa,1840.7431252486917,2019-05
Uasin Gishu,1831.5558136056782,2019-05
Kakamega,1829.6952219348782,2019-05
Laikipia,1817.0172683384342,2019-05
Busia,1831.6740101769378,2019-05
Meru,1818.3854902695816,2019-05
Nandi,,2019-05
Siaya,1832.1789688349052,2019-05
Nakuru,,2019-05
Vihiga,1825.385229749164,2019-05
Nyandarua,,2019-05
Tharaka,,2019-05
Kericho,1842.6962307700708,2019-05
Kisumu,1829.1856648662429,2019-05
Nyeri,,2019-05
