country_co,country_na,mean,month
CD,Chad,5.506830380756549e-05,2018-07
MI,Malawi,4.69372677299746e-05,2018-07
ZA,Zambia,5.7286951672107445e-05,2018-07
ZI,Zimbabwe,4.900664627226773e-05,2018-07
BC,Botswana,4.9603535436068014e-05,2018-07
WA,Namibia,4.894739803768464e-05,2018-07
AO,Angola,7.430713843395704e-05,2018-07
BY,Burundi,6.236979512400203e-05,2018-07
RW,Rwanda,5.8312536564799055e-05,2018-07
SF,South Africa,6.814355567837974e-05,2018-07
LT,Lesotho,5.402731229659128e-05,2018-07
WZ,Swaziland,0.0001093505198335,2018-07
MF,Mayotte,4.225973442183727e-05,2018-07
NG,Niger,5.7965681187779406e-05,2018-07
SU,Sudan,5.6110586060828376e-05,2018-07
LY,Libya,6.439697405168115e-05,2018-07
UU,Koualou Area,5.206092556675406e-05,2018-07
TS,Tunisia,7.554098259353544e-05,2018-07
EG,Egypt,6.986302595756957e-05,2018-07
EG,Bir Tawil,6.028448166058298e-05,2018-07
SU,Halaib Triangle,6.09666097088167e-05,2018-07
ER,Eritrea,5.401248733525999e-05,2018-07
ET,Ethiopia,4.560425692808472e-05,2018-07
DJ,Djibouti,5.083919900193492e-05,2018-07
SO,Somalia,4.40603152954478e-05,2018-07
OD,South Sudan,4.634636783830848e-05,2018-07
UU,Abyei Area,4.824185539228575e-05,2018-07
KE,Kenya,4.590064116144034e-05,2018-07
UG,Uganda,5.026633524323939e-05,2018-07
TZ,Tanzania,5.640827575520526e-05,2018-07
MZ,Mozambique,4.793131930906937e-05,2018-07
CN,Comoros,4.227457310985136e-05,2018-07
MA,Madagascar,4.674784431076993e-05,2018-07
CV,Cabo Verde,5.131070518728708e-05,2018-07
WI,Western Sahara,5.841190167440354e-05,2018-07
MR,Mauritania,5.779965356367084e-05,2018-07
MO,Morocco,6.903411074494548e-05,2018-07
SP,Spain (Canary Is),6.619022595522263e-05,2018-07
PO,Portugal (Madeira Is),6.850939587903516e-05,2018-07
SP,Spain (Africa),9.198391299753791e-05,2018-07
AG,Algeria,6.360969750392302e-05,2018-07
ML,Mali,5.7789607248241225e-05,2018-07
UV,Burkina Faso,5.374801986637081e-05,2018-07
TO,Togo,4.999788896684808e-05,2018-07
GH,Ghana,4.9069962718992e-05,2018-07
IV,Cote d'Ivoire,4.739866951379421e-05,2018-07
GV,Guinea,4.792007935470085e-05,2018-07
SG,Senegal,5.740169969223936e-05,2018-07
GA,"Gambia, The",5.5501653658217705e-05,2018-07
PU,Guinea-Bissau,4.90429424107e-05,2018-07
SL,Sierra Leone,4.577059657654384e-05,2018-07
LI,Liberia,4.566304860017111e-05,2018-07
BN,Benin,5.129561029549429e-05,2018-07
NI,Nigeria,5.596049812343772e-05,2018-07
CM,Cameroon,5.091315645883821e-05,2018-07
EK,Equatorial Guinea,5.593843963330559e-05,2018-07
TP,Sao Tome & Principe,5.4034252228106e-05,2018-07
GB,Gabon,6.0787492837277166e-05,2018-07
CF,Rep of the Congo,6.720763668005107e-05,2018-07
CT,Central African Rep,4.799989905633048e-05,2018-07
CG,Dem Rep of the Congo,7.332510643926778e-05,2018-07
CD,Chad,5.344384226062776e-05,2018-08
MI,Malawi,5.8824277435943886e-05,2018-08
ZA,Zambia,8.013818761541833e-05,2018-08
ZI,Zimbabwe,6.395487134939543e-05,2018-08
BC,Botswana,5.933751478116945e-05,2018-08
WA,Namibia,5.465052788368589e-05,2018-08
AO,Angola,8.292635804212732e-05,2018-08
BY,Burundi,5.856921420183523e-05,2018-08
RW,Rwanda,5.459190005221049e-05,2018-08
SF,South Africa,6.527480755125936e-05,2018-08
LT,Lesotho,5.888944269461285e-05,2018-08
WZ,Swaziland,0.0001077502990132,2018-08
MF,Mayotte,4.5052837646708345e-05,2018-08
NG,Niger,5.6285107150831794e-05,2018-08
SU,Sudan,5.488557144576743e-05,2018-08
LY,Libya,6.17748696667705e-05,2018-08
UU,Koualou Area,4.895237539635604e-05,2018-08
TS,Tunisia,7.401258598310253e-05,2018-08
EG,Egypt,6.658334321899317e-05,2018-08
EG,Bir Tawil,5.878594970071587e-05,2018-08
SU,Halaib Triangle,5.837340382828249e-05,2018-08
ER,Eritrea,5.2384198246210414e-05,2018-08
ET,Ethiopia,4.565088533043837e-05,2018-08
DJ,Djibouti,5.1427648734862393e-05,2018-08
SO,Somalia,4.398855883795289e-05,2018-08
OD,South Sudan,4.541446934790554e-05,2018-08
UU,Abyei Area,4.815288187705148e-05,2018-08
KE,Kenya,4.559897616255039e-05,2018-08
UG,Uganda,4.707169905920042e-05,2018-08
TZ,Tanzania,5.815134509593671e-05,2018-08
MZ,Mozambique,6.571590735135119e-05,2018-08
CN,Comoros,4.446527423733413e-05,2018-08
MA,Madagascar,5.431894467339318e-05,2018-08
CV,Cabo Verde,5.023438762992979e-05,2018-08
WI,Western Sahara,5.717596123304998e-05,2018-08
MR,Mauritania,5.622004684128322e-05,2018-08
MO,Morocco,6.649918731070293e-05,2018-08
SP,Spain (Canary Is),6.38294557614229e-05,2018-08
PO,Portugal (Madeira Is),6.45229577957056e-05,2018-08
SP,Spain (Africa),8.603668826738142e-05,2018-08
AG,Algeria,6.335051857815334e-05,2018-08
ML,Mali,5.5964088282273874e-05,2018-08
UV,Burkina Faso,5.198152018777591e-05,2018-08
TO,Togo,4.846003327732354e-05,2018-08
GH,Ghana,4.809087275921827e-05,2018-08
IV,Cote d'Ivoire,4.651635747083862e-05,2018-08
GV,Guinea,4.580994015282584e-05,2018-08
SG,Senegal,5.487658638432221e-05,2018-08
GA,"Gambia, The",5.315227253294999e-05,2018-08
PU,Guinea-Bissau,4.733552728363395e-05,2018-08
SL,Sierra Leone,4.4598254260635125e-05,2018-08
LI,Liberia,4.4213140001718326e-05,2018-08
BN,Benin,4.887585261464906e-05,2018-08
NI,Nigeria,5.29021042345512e-05,2018-08
CM,Cameroon,4.744336413613336e-05,2018-08
EK,Equatorial Guinea,4.884001406469426e-05,2018-08
TP,Sao Tome & Principe,4.979084499955464e-05,2018-08
GB,Gabon,5.271143963086355e-05,2018-08
CF,Rep of the Congo,6.175838771703876e-05,2018-08
CT,Central African Rep,4.514414044924382e-05,2018-08
CG,Dem Rep of the Congo,6.930252350492854e-05,2018-08
CD,Chad,5.133532414801076e-05,2018-09
MI,Malawi,7.013113962332139e-05,2018-09
ZA,Zambia,9.27725041590152e-05,2018-09
ZI,Zimbabwe,7.500025203963876e-05,2018-09
BC,Botswana,6.698845784666451e-05,2018-09
WA,Namibia,6.300761586524726e-05,2018-09
AO,Angola,8.200272238341232e-05,2018-09
BY,Burundi,5.413518225543567e-05,2018-09
RW,Rwanda,5.218620425742208e-05,2018-09
SF,South Africa,6.905209544472628e-05,2018-09
LT,Lesotho,6.226885646960857e-05,2018-09
WZ,Swaziland,0.0001028494832199,2018-09
MF,Mayotte,4.764803915393749e-05,2018-09
NG,Niger,5.196762448792407e-05,2018-09
SU,Sudan,5.3442476415269696e-05,2018-09
LY,Libya,5.558173536045916e-05,2018-09
UU,Koualou Area,4.979326827293336e-05,2018-09
TS,Tunisia,6.379431648566301e-05,2018-09
EG,Egypt,6.1018196408413246e-05,2018-09
EG,Bir Tawil,5.5576508535607583e-05,2018-09
SU,Halaib Triangle,5.344587945519112e-05,2018-09
ER,Eritrea,5.175611539260196e-05,2018-09
ET,Ethiopia,4.632583520354401e-05,2018-09
DJ,Djibouti,5.0571896432462265e-05,2018-09
SO,Somalia,4.429289543151589e-05,2018-09
OD,South Sudan,4.7221870436365984e-05,2018-09
UU,Abyei Area,5.098581355611434e-05,2018-09
KE,Kenya,4.72920151850662e-05,2018-09
UG,Uganda,5.0438859833111165e-05,2018-09
TZ,Tanzania,5.850524147169753e-05,2018-09
MZ,Mozambique,8.97274968015177e-05,2018-09
CN,Comoros,4.756951571050687e-05,2018-09
MA,Madagascar,6.143617490377069e-05,2018-09
CV,Cabo Verde,4.718851226414415e-05,2018-09
